#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
49406	9941965	5154056	1818	1709	358	39032	0
49407	9941987	5154051	1855	1859	358	39026	0
49408	9942000	5154046	1896	1648	358	39025	0
49409	9942019	5154041	1805	1765	358	39027	0
49410	9942035	5154038	1614	1753	357	39028	0
49411	9942053	5154034	1585	1727	357	39018	0
49412	9942072	5154030	1622	1510	357	39021	0
49413	9942086	5154026	1357	1626	357	39028	0
49414	9942100	5154023	1309	1585	357	39013	0
49415	9942120	5154019	1146	1585	357	39014	0
49416	9942137	5154016	1148	1038	357	39017	0
49417	9942153	5154011	1142	1262	357	39021	0
49418	9942163	5154007	1179	1258	357	39016	0
49419	9942173	5154004	1090	914	357	39017	0
49420	9942188	5154000	1059	949	357	39015	0
49421	9942195	5153997	1066	904	357	39019	0
49422	9942205	5153995	924	828	357	39020	0
49423	9942213	5153993	768	712	357	39023	0
49424	9942215	5153991	551	712	357	39017	0
49425	9942222	5153988	407	576	357	39019	0
49426	9942228	5153987	370	576	357	39021	0
49427	9942222	5153986	11	576	357	39027	0
49428	9942218	5153985	11	0	357	39027	0
49429	9942217	5153985	3	0	357	39032	0
49430	9942215	5153985	7	0	357	39026	0
49431	9942218	5153985	3	0	357	39027	0
49432	9942218	5153985	25	0	357	39020	0
49433	9942224	5153984	46	275	357	39029	0
49434	9942226	5153982	57	777	356	39020	0
49435	9942235	5153980	729	898	356	39026	0
49436	9942245	5153978	1096	982	356	39019	0
49437	9942266	5153974	1290	1175	356	39016	0
49438	9942282	5153970	1205	1343	356	39019	0
49439	9942300	5153967	1218	1458	356	39012	0
49440	9942318	5153963	1276	1457	356	39025	0
49441	9942335	5153959	1331	1110	356	39016	0
49442	9942338	5153955	1153	1466	356	39023	0
49443	9942337	5153952	896	1118	356	39020	0
49444	9942335	5153948	1020	1493	356	39026	0
49445	9942337	5153944	1276	1651	356	39016	0
49446	9942350	5153938	1507	1469	356	39029	0
49447	9942355	5153934	1427	1712	356	39027	0
49448	9942357	5153930	1490	1730	356	39015	0
49449	9942357	5153925	1526	1732	356	39023	0
49450	9942360	5153921	1526	1737	356	39019	0
49451	9942364	5153917	1524	1495	356	39023	0
49452	9942380	5153912	1553	1608	356	39032	0
49453	9942385	5153908	1559	1640	355	39029	0
49454	9942387	5153905	1479	1631	355	39035	0
49455	9942389	5153900	1485	1662	355	39035	0
49456	9942387	5153896	1435	1745	355	39029	0
49457	9942389	5153893	1374	1759	355	39029	0
49458	9942400	5153889	1407	1850	355	39031	0
49459	9942410	5153884	1594	1860	355	39028	0
49460	9942418	5153880	1509	1841	355	39032	0
49461	9942424	5153876	1342	1782	355	39035	0
49462	9942433	5153871	1461	1728	355	39037	0
