#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31370	9940284	5155314	2114	2514	149	100495	-1066
31371	9940245	5155309	2264	2556	148	100506	-1075
31372	9940210	5155304	2448	2460	148	100502	-1072
31373	9940173	5155298	2503	2638	147	100497	-1068
31374	9940132	5155292	2611	2683	147	100504	-1074
31375	9940087	5155286	2561	2704	146	100510	-1079
31376	9940039	5155279	2633	2717	146	100508	-1077
31377	9939987	5155272	2592	2562	145	100505	-1074
31378	9939933	5155266	2657	2723	145	100509	-1078
31379	9939876	5155260	2744	2591	144	100510	-1079
31380	9939817	5155253	2750	2744	144	100520	-1087
31381	9939761	5155247	2605	2600	143	100511	-1079
31382	9939708	5155241	2611	2770	143	100519	-1086
31383	9939658	5155234	2727	2628	142	100515	-1083
31384	9939614	5155227	2733	2797	142	100519	-1086
31385	9939571	5155221	2726	2795	141	100521	-1088
31386	9939528	5155215	2650	2791	141	100520	-1087
31387	9939484	5155208	2653	2770	140	100522	-1089
31388	9939440	5155202	2718	2767	140	100533	-1098
31389	9939398	5155195	2653	2765	139	100527	-1093
31390	9939358	5155188	2724	2769	138	100530	-1095
31391	9939322	5155182	2737	2764	138	100536	-1100
31392	9939285	5155175	2690	2775	137	100530	-1095
31393	9939250	5155169	2577	2780	137	100535	-1100
31394	9939213	5155163	2739	2765	136	100535	-1100
31395	9939175	5155156	2692	2776	136	100531	-1096
31396	9939142	5155149	2765	2788	136	100545	-1108
31397	9939110	5155142	2631	2789	135	100539	-1103
31398	9939084	5155136	2692	2789	135	100551	-1113
31399	9939060	5155129	2661	2780	134	100544	-1107
31400	9939036	5155123	2794	2758	134	100544	-1107
31401	9939014	5155116	2655	2735	133	100545	-1108
31402	9938993	5155109	2716	2668	133	100543	-1106
31403	9938974	5155103	2703	2653	133	100538	-1102
31404	9938954	5155095	2705	2644	132	100549	-1111
31405	9938936	5155089	2620	2623	132	100543	-1106
31406	9938917	5155082	2624	2597	132	100548	-1111
31407	9938896	5155075	2559	2498	131	100555	-1116
31408	9938877	5155069	2361	2181	131	100545	-1108
31409	9938861	5155063	1979	1914	131	100549	-1111
31410	9938849	5155057	1700	1326	131	100556	-1117
31411	9938842	5155052	1398	1247	131	100555	-1116
31412	9938839	5155048	1059	1057	130	100550	-1112
31413	9938839	5155045	713	1057	130	100555	-1116
31414	9938840	5155042	459	1057	130	100550	-1112
31415	9938842	5155041	22	0	130	100557	-1118
31416	9938842	5155040	5	0	130	100550	-1112
31417	9938840	5155039	5	0	130	100557	-1118
31418	9938840	5155039	3	0	130	100549	-1111
31419	9938839	5155039	5	0	130	100555	-1116
31420	9938841	5155039	0	179	130	100555	-1116
31421	9938842	5155039	0	476	130	100563	-1123
31422	9938844	5155039	0	775	130	100555	-1116
31423	9938844	5155039	55	1123	130	100559	-1120
31424	9938843	5155038	1118	1178	130	100566	-1126
31425	9938839	5155037	1259	1283	130	100562	-1122
31426	9938835	5155034	1516	1459	129	100563	-1123
31427	9938830	5155031	1546	1624	130	100570	-1129
31428	9938826	5155028	1555	1856	129	100555	-1116
31429	9938818	5155024	1772	1945	129	100555	-1116
31430	9938810	5155020	1990	2092	129	100557	-1118
31431	9938804	5155015	2077	2128	129	100557	-1118
31432	9938801	5155009	2202	1944	128	100560	-1121
31433	9938803	5155003	2276	1918	128	100561	-1122
31434	9938807	5154998	2240	2204	128	100562	-1122
31435	9938812	5154992	2172	2227	128	100556	-1117
31436	9938818	5154986	2164	2275	128	100562	-1122
31437	9938818	5154986	2164	2299	127	100556	-1117
31438	9938830	5154975	2303	2278	127	100560	-1121
31439	9938839	5154970	2290	2255	127	100559	-1120
31440	9938850	5154964	2285	1936	127	100565	-1125
31441	9938865	5154958	2168	2161	126	100564	-1124
31442	9938880	5154952	2157	2184	126	100564	-1124
31443	9938896	5154947	2044	2179	126	100569	-1128
31444	9938910	5154942	2207	1929	126	100565	-1125
31445	9938922	5154936	2155	2236	125	100562	-1122
31446	9938931	5154931	2276	2347	125	100572	-1131
31447	9938940	5154925	2359	2398	125	100570	-1129
31448	9938951	5154920	2502	2411	124	100567	-1127
