#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	 Tacho [1e2 km/h]
57730	9939636	5154654	1524	1629
57731	9939623	5154658	1518	1450
57732	9939610	5154662	1639	1645
57733	9939595	5154666	1590	1687
57734	9939595	5154666	1590	1679
57735	9939565	5154674	1572	1687
57736	9939565	5154674	1572	1653
57737	9939537	5154682	1457	1628
57738	9939522	5154685	1455	1645
57739	9939522	5154685	1455	1673
57740	9939482	5154693	1700	1667
57741	9939464	5154697	1639	1649
57742	9939464	5154697	1639	1436
57743	9939442	5154701	1594	1605
57744	9939426	5154705	1464	1666
57745	9939412	5154708	1477	1672
57746	9939397	5154712	1587	1675
57747	9939377	5154715	1555	1638
57748	9939348	5154723	1576	1605
57749	9939348	5154723	1576	1603
57750	9939322	5154732	1542	1612
57751	9939322	5154732	1542	1633
57752	9939297	5154740	1509	1611
57753	9939283	5154743	1511	1201
57754	9939283	5154743	1511	1371
57755	9939272	5154747	1364	1308
57756	9939247	5154755	1376	1491
57757	9939234	5154759	1374	1557
57758	9939234	5154759	1374	1597
57759	9939217	5154762	1426	1637
57760	9939200	5154767	1563	1683
57761	9939185	5154771	1555	1701
57762	9939152	5154779	1509	1677
57763	9939137	5154783	1461	1655
57764	9939137	5154783	1461	1645
57765	9939103	5154791	1561	1679
57766	9939089	5154794	1561	1684
57767	9939069	5154798	1551	1691
57768	9939050	5154802	1596	1701
57769	9939050	5154802	1596	1697
57770	9939022	5154810	1566	1693
57771	9939009	5154815	1601	1688
57772	9938996	5154819	1616	1697
57773	9938989	5154823	1692	1507
57774	9938989	5154823	1692	1696
57775	9938978	5154832	1707	1753
57776	9938978	5154832	1707	1787
57777	9938962	5154841	1689	1814
57778	9938953	5154845	1681	1833
57779	9938953	5154845	1681	1815
57780	9938938	5154854	1676	1800
57781	9938938	5154854	1676	1803
57782	9938933	5154858	1646	1787
57783	9938931	5154863	1733	1766
57784	9938930	5154867	1731	1740
57785	9938930	5154872	1720	1718
57786	9938922	5154876	1629	1717
57787	9938911	5154881	1622	1737
57788	9938909	5154885	1677	1775
57789	9938898	5154889	1494	1766
57790	9938890	5154893	1448	1741
57791	9938876	5154897	1514	1738
57792	9938862	5154901	1503	1704
57793	9938862	5154901	1503	1682
57794	9938840	5154909	1492	1693
57795	9938830	5154912	1481	1709
57796	9938820	5154917	1444	1690
57797	9938817	5154921	1550	1676
57798	9938808	5154929	1650	1467
57799	9938808	5154929	1650	1644
57800	9938798	5154934	1696	1671
57801	9938785	5154938	1563	1661
57802	9938780	5154942	1451	1628
57803	9938777	5154946	1507	1601
57804	9938766	5154950	1550	1564
57805	9938753	5154958	1535	1508
57806	9938748	5154962	1426	1459
57807	9938748	5154962	1426	1363
57808	9938742	5154968	1150	1268
57809	9938742	5154968	1150	1246
57810	9938748	5154974	1081	1232
57811	9938750	5154978	1042	1224
57812	9938765	5154981	1033	1204
57813	9938770	5154984	1063	1233
57814	9938770	5154984	1063	1227
57815	9938790	5154990	1105	1208
57816	9938795	5154993	1146	1182
57817	9938800	5154996	1113	1156
57818	9938805	5154999	1014	1168
57819	9938805	5154999	1014	1208
57820	9938807	5155005	1064	1306
57821	9938807	5155008	1064	1365
57822	9938805	5155011	1127	1354
57823	9938805	5155015	1179	1412
57824	9938805	5155015	1179	1418
57825	9938802	5155021	1364	1415
57826	9938805	5155025	1474	1439
57827	9938807	5155029	1414	975
57828	9938805	5155033	1420	1417
57829	9938805	5155033	1420	1545
57830	9938802	5155036	1370	1586
57831	9938800	5155044	1401	1618
57832	9938800	5155044	1401	1660
57833	9938810	5155052	1409	1721
57834	9938810	5155052	1409	1840
57835	9938822	5155060	1661	1951
57836	9938831	5155065	1570	1994
57837	9938845	5155069	1698	2059
57838	9938864	5155074	1894	2133
57839	9938864	5155074	1894	2189
57840	9938882	5155079	2002	2250
57841	9938933	5155089	2096	1977
57842	9938956	5155095	2107	2251
57843	9938980	5155100	2153	2285
57844	9938980	5155100	2153	2293
57845	9939029	5155112	2024	2284
57846	9939050	5155118	2013	2272
57847	9939070	5155124	2000	2255
57848	9939090	5155130	1964	2233
57849	9939090	5155130	1964	2275
57850	9939147	5155141	2161	2291
57851	9939181	5155147	2209	2284
57852	9939217	5155152	2087	2257
57853	9939252	5155158	2242	2231
57854	9939252	5155158	2242	1919
57855	9939312	5155169	2153	2113
57856	9939345	5155175	1953	2144
57857	9939379	5155180	2040	2140
57858	9939415	5155185	1942	2126
57859	9939415	5155185	1942	2109
57860	9939484	5155196	2118	2099
57861	9939515	5155200	1977	2087
57862	9939544	5155205	1877	2062
57863	9939571	5155209	1666	1777
57864	9939571	5155209	1666	1980
57865	9939629	5155218	1844	1975
57866	9939656	5155223	1855	1985
57867	9939689	5155227	1920	2000
57868	9939720	5155232	1905	1996
57869	9939720	5155232	1905	1984
57870	9939785	5155240	1611	1987
57871	9939825	5155243	1792	2016
57872	9939867	5155248	1866	2004
57873	9939905	5155253	1866	1970
57874	9939905	5155253	1866	1910
57875	9939977	5155261	1846	1548
57876	9940010	5155266	1735	1588
57877	9940040	5155270	1596	1170
57878	9940068	5155274	1514	1297
57879	9940068	5155274	1514	1321
57880	9940115	5155280	1381	1286
57881	9940133	5155284	1216	1216
57882	9940133	5155284	1216	1206
57883	9940168	5155289	946	1195
57884	9940168	5155289	946	1202
57885	9940197	5155294	933	1188
57886	9940197	5155294	933	1185
57887	9940228	5155299	1061	1246
57888	9940228	5155299	1061	1318
57889	9940228	5155299	1061	1404
57890	9940273	5155304	1414	1404
57891	9940329	5155311	1481	1082
57892	9940360	5155314	1513	1278
57893	9940396	5155317	1726	1392
57894	9940396	5155317	1726	1585
57895	9940456	5155325	1503	1610
57896	9940492	5155329	1533	1609
57897	9940523	5155332	1572	1653
57898	9940552	5155336	1518	1625
57899	9940552	5155336	1518	1598
57900	9940608	5155344	1513	1569
57901	9940634	5155348	1507	1593
57902	9940660	5155351	1477	1637
57903	9940686	5155354	1464	1679
57904	9940686	5155354	1464	1691
57905	9940750	5155362	1539	1689
57906	9940780	5155365	1481	1682
57907	9940808	5155369	1511	1723
57908	9940835	5155372	1616	1736
57909	9940835	5155372	1616	1776
57910	9940888	5155380	1572	1798
57911	9940911	5155383	1485	1850
57912	9940935	5155388	1677	1852
57913	9940960	5155392	1877	1855
57914	9940960	5155392	1877	1832
57915	9941015	5155401	1651	1795
57916	9941040	5155404	1651	1753
57917	9941073	5155408	1772	1731
57918	9941102	5155412	1631	1726
57919	9941102	5155412	1631	1732
57920	9941156	5155420	1537	1738
57921	9941185	5155423	1674	1744
57922	9941185	5155423	1674	1728
57923	9941245	5155431	1631	1711
57924	9941245	5155431	1631	1701
57925	9941277	5155435	1496	1695
57926	9941307	5155439	1603	1463
57927	9941365	5155446	1548	1616
57928	9941392	5155449	1544	1662
57929	9941392	5155449	1544	1676
57930	9941443	5155456	1514	1711
57931	9941466	5155460	1470	1730
57932	9941488	5155464	1618	1747
57933	9941513	5155467	1566	1516
57934	9941513	5155467	1566	1662
57935	9941565	5155475	1405	1698
57936	9941595	5155479	1514	1696
57937	9941624	5155482	1518	1696
57938	9941624	5155482	1518	1694
57939	9941650	5155486	1587	1697
57940	9941698	5155494	1607	1508
57941	9941698	5155494	1607	1681
57942	9941725	5155498	1605	1731
57943	9941787	5155506	1542	1721
57944	9941787	5155506	1542	1689
57945	9941838	5155514	1518	1656
57946	9941862	5155517	1413	1651
57947	9941894	5155521	1546	1665
57948	9941914	5155525	1433	1663
57949	9941914	5155525	1433	1678
57950	9941954	5155531	1403	1679
57951	9941983	5155536	1563	1656
57952	9942015	5155540	1559	1647
57953	9942041	5155543	1520	1633
57954	9942041	5155543	1520	1646
57955	9942068	5155547	1516	1667
57956	9942095	5155551	1626	1690
57957	9942125	5155556	1631	1700
57958	9942153	5155560	1677	1507
57959	9942183	5155564	1672	1682
57960	9942213	5155568	1679	1742
57961	9942213	5155568	1679	1318
57962	9942270	5155578	1750	1733
57963	9942298	5155582	1598	1785
57964	9942327	5155586	1590	1816
57965	9942360	5155589	1583	1845
57966	9942391	5155594	1648	1612
57967	9942418	5155597	1640	1778
57968	9942449	5155601	1748	1814
57969	9942476	5155605	1781	1586
57970	9942533	5155615	1751	1760
57971	9942560	5155619	1753	1818
57972	9942587	5155623	1651	1832
57973	9942618	5155627	1711	1827
57974	9942618	5155627	1711	1805
57975	9942675	5155635	1720	1783
57976	9942701	5155639	1711	1752
57977	9942730	5155643	1566	1724
57978	9942759	5155646	1559	1712
57979	9942759	5155646	1559	1709
57980	9942820	5155653	1503	1692
57981	9942848	5155657	1492	1684
57982	9942877	5155660	1548	1699
57983	9942915	5155665	1757	1756
57984	9942915	5155665	1757	1766
57985	9942985	5155672	1589	1786
57986	9943018	5155675	1524	1793
57987	9943050	5155679	1605	1814
57988	9943078	5155683	1603	1817
57989	9943078	5155683	1603	1824
57990	9943125	5155691	1694	1830
57991	9943151	5155695	1700	1835
57992	9943185	5155699	1776	1836
57993	9943212	5155703	1789	1839
57994	9943212	5155703	1789	1595
57995	9943260	5155712	1722	1735
57996	9943282	5155717	1627	1750
57997	9943307	5155721	1640	1726
57998	9943327	5155725	1650	1699
57999	9943327	5155725	1650	1444
58000	9943347	5155729	1551	1557
58002	9943395	5155736	1439	1386
58003	9943453	5155743	1463	1594
58004	9943453	5155743	1463	1670
58005	9943562	5155747	1529	1777
58006	9943624	5155748	1479	1934
58007	9943697	5155747	1696	1974
58008	9943775	5155747	1800	1968
58009	9943775	5155747	1800	1962
58010	9943929	5155745	1809	1966
58011	9944012	5155744	1892	1679
58012	9944092	5155744	1789	1805
58013	9944168	5155743	1777	1809
58014	9944168	5155743	1777	1589
58015	9944324	5155743	1785	1757
58016	9944397	5155742	1776	1808
58017	9944471	5155742	1648	1794
58018	9944547	5155742	1679	1800
58019	9944547	5155742	1679	1825
58020	9944698	5155743	1726	1836
58021	9944774	5155742	1737	1600
58022	9944847	5155742	1703	1757
58023	9944917	5155742	1668	1770
58024	9944917	5155742	1668	1767
58025	9945057	5155742	1709	1555
58026	9945057	5155742	1709	1724
58027	9945202	5155742	1661	1764
58028	9945270	5155742	1670	1666
58029	9945270	5155742	1670	1619
58030	9945398	5155741	1590	1630
58031	9945461	5155741	1622	1688
58032	9945528	5155741	1627	1554
58033	9945597	5155741	1676	1751
58034	9945597	5155741	1676	1803
58035	9945735	5155741	1692	1793
58036	9945808	5155741	1751	1782
58037	9945808	5155741	1751	1772
58038	9945880	5155741	1716	1751
58039	9945953	5155741	1726	1739
58040	9946029	5155741	1687	1733
58041	9946168	5155741	1653	1739
58042	9946168	5155741	1653	1745
58043	9946308	5155740	1651	1747
58044	9946308	5155740	1651	1756
58045	9946452	5155739	1761	1793
58046	9946524	5155738	1696	1773
58047	9946590	5155738	1592	1761
58048	9946651	5155738	1439	1740
58049	9946651	5155738	1439	1728
58050	9946787	5155737	1672	1733
58051	9946847	5155738	1413	1667
58052	9946895	5155740	1311	1649
58053	9946925	5155742	1207	1687
58054	9946925	5155742	1207	1714
58055	9946927	5155747	1187	1718
58056	9946923	5155751	1450	1669
58057	9946918	5155755	1683	1617
58058	9946920	5155759	1607	1577
58059	9946920	5155759	1607	1178
58060	9946917	5155766	1309	1463
58061	9946917	5155770	1259	1551
58062	9946917	5155773	1350	1575
58063	9946917	5155777	1418	1565
58064	9946917	5155777	1418	1163
58065	9946920	5155783	1155	1395
58066	9946930	5155786	1216	1429
58067	9946932	5155789	1096	1403
58068	9946934	5155791	974	1277
58069	9946934	5155791	974	1214
58070	9946939	5155793	453	1124
58071	9946957	5155793	525	968
58072	9946970	5155794	609	888
58073	9946977	5155796	466	899
58074	9946977	5155796	466	886
58075	9946970	5155798	31	855
58076	9946970	5155798	31	783
58077	9946965	5155800	33	783
58078	9946963	5155803	29	783
58079	9946963	5155803	29	0
58080	9946961	5155803	18	417
58081	9946957	5155804	0	417
58082	9946957	5155804	0	417
58083	9946957	5155804	0	0
58084	9946957	5155804	0	0
58085	9946957	5155804	0	0
58086	9946957	5155804	0	0
58087	9946957	5155804	0	0
58088	9946957	5155804	0	0
58089	9946957	5155804	0	0
58090	9946957	5155804	0	0
58091	9946957	5155804	0	0
58092	9946957	5155804	3	0
58093	9946957	5155804	3	0
58094	9946957	5155804	3	0
58095	9946959	5155804	0	0
58096	9946959	5155804	0	0
58097	9946959	5155804	0	0
58098	9946959	5155804	0	0
58099	9946959	5155804	0	0
58100	9946959	5155804	0	0
58101	9946959	5155804	0	0
58102	9946959	5155804	0	0
58103	9946959	5155804	0	0
58104	9946959	5155804	0	0
58105	9946959	5155804	0	0
58106	9946959	5155804	0	0
58107	9946959	5155804	0	0
58108	9946959	5155804	0	0
58109	9946959	5155804	0	0
58110	9946959	5155804	0	0
58111	9946959	5155804	0	0
58112	9946959	5155804	0	0
58113	9946959	5155804	0	0
58114	9946959	5155804	0	0
58115	9946959	5155804	0	0
58116	9946959	5155804	0	0
58117	9946959	5155804	0	0
58118	9946959	5155804	0	0
58119	9946959	5155804	0	0
58120	9946959	5155804	0	0
58121	9946959	5155804	0	0
58122	9946959	5155804	0	0
58123	9946959	5155804	0	0
58124	9946959	5155804	0	0
58125	9946957	5155804	0	0
58126	9946957	5155804	0	0
58127	9946957	5155804	12	0
58128	9946957	5155804	51	0
58129	9946957	5155804	51	0
58130	9946957	5155804	61	0
58131	9946955	5155804	59	0
58132	9946953	5155804	96	0
58133	9946948	5155804	138	0
58134	9946948	5155804	138	0
58135	9946937	5155804	0	0
58136	9946937	5155804	0	0
58137	9946937	5155804	0	0
58138	9946937	5155804	0	0
